total_positive_reviews,total_negative_reviews,reviews_level,is_free,comment_total,hot_level,price,playtime_forever,adult_con,month_total_play_time,month_total_play_cnt,purchase_year,purchase_month,release_year,release_month,genres_score,categories_score,tags_score
372.0,96.0,3.875,0,468.0,0,8.216088098632316,0.0,0,21.300000000000004,9,2018,7,2013,12,1,0,0
23.0,1.0,23.0,1,24.0,0,0.0,0.016666666666666666,0,29.333333333333332,17,2016,11,2015,8,2,0,0
3018.0,663.0,4.552036199095022,0,3681.0,0,8.517193191416238,0.0,0,21.300000000000004,9,2018,7,2014,1,1,0,0
63078.0,1746.0,36.12714776632303,0,64824.0,2,9.20029003612268,1.5333333333333334,0,29.333333333333332,17,2016,11,2010,3,3,1,0
8841.0,523.0,16.904397705544934,0,9364.0,0,8.476371196895983,22.33333333333333,0,50.9,27,2018,3,2012,7,2,0,0
0.0,1.0,0.0,0,1.0,0,10.158129770909708,2.933333333333333,0,2.933333333333333,2,-1,-1,2019,3,2,3,0
39776.0,1035.0,38.43091787439614,0,40811.0,2,8.1886891244442,2.6166666666666667,0,30.499999999999996,14,2018,2,2012,10,1,0,0
33.0,3.0,11.0,1,36.0,0,0.0,0.15,0,16.2,16,2018,1,2016,4,1,0,0
1875.0,39.0,48.07692307692308,0,1914.0,0,8.294049640102028,0.016666666666666666,0,18.1,12,2018,11,2014,2,3,0,1
47.0,11.0,4.2727272727272725,0,58.0,0,9.082507000466299,0.016666666666666666,0,268.25,25,2017,12,2017,10,2,0,0
5893.0,700.0,8.418571428571429,0,6593.0,0,8.824677891164198,0.0,0,16.2,16,2018,1,2010,9,2,0,0
148.0,35.0,4.228571428571429,0,183.0,0,7.824046010856292,0.0,0,30.099999999999998,19,2017,6,2013,11,4,0,0
110.0,260.0,0.4230769230769231,1,370.0,0,0.0,0.0,0,0.0,10,2019,7,2018,12,1,0,0
9659.0,1058.0,9.129489603024574,0,10717.0,1,8.101677747454572,20.566666666666666,0,40.849999999999994,4,2016,10,2016,8,4,7,0
5871.0,551.0,10.655172413793103,0,6422.0,0,8.648221453822641,0.6333333333333333,0,28.450000000000003,16,2018,6,2016,8,2,6,0
167.0,30.0,5.566666666666666,1,197.0,0,0.0,0.016666666666666666,0,14.883333333333335,6,2017,9,2010,7,3,2,0
21566.0,1289.0,16.730799069045773,0,22855.0,1,8.824677891164198,3.3,0,16.2,16,2018,1,2012,9,4,1,0
43103.0,4042.0,10.663780306778822,0,47145.0,2,9.323669057283185,0.0,0,5.666666666666666,8,2019,5,2015,4,1,1,0
30934.0,7777.0,3.9776263340619775,0,38711.0,2,9.323669057283185,0.0,0,30.499999999999996,14,2018,2,2016,5,2,1,0
74.0,115.0,0.6434782608695652,0,189.0,0,8.1886891244442,0.0,0,1.3333333333333335,6,2018,12,2015,4,2,1,0
1122.0,248.0,4.524193548387097,0,1370.0,0,8.824677891164198,0.16666666666666666,0,16.2,16,2018,1,2010,11,0,0,0
8406.0,1780.0,4.722471910112359,0,10186.0,1,9.082507000466299,1.6166666666666667,0,29.333333333333332,17,2016,11,2014,9,3,1,0
20437.0,1847.0,11.064970221981591,0,22284.0,1,9.082507000466299,0.0,0,4.1,10,2018,5,2017,8,2,0,0
2.0,1.0,2.0,1,3.0,0,0.0,0.05,0,23.11666666666667,12,2017,11,2016,6,0,0,0
6812.0,1458.0,4.672153635116598,0,8270.0,0,9.464982590349763,0.0,0,4.183333333333334,5,2019,4,2017,5,1,1,0
9566.0,517.0,18.502901353965182,0,10083.0,1,9.20029003612268,0.0,0,4.1,10,2018,5,2010,1,2,0,0
5001.0,597.0,8.376884422110553,0,5598.0,0,7.313220387090301,0.21666666666666667,0,268.25,25,2017,12,2016,8,4,0,6
3457.0,372.0,9.293010752688172,0,3829.0,0,8.476371196895983,0.0,0,11.533333333333333,21,2019,6,2015,1,1,0,0
329.0,73.0,4.506849315068493,0,402.0,0,8.476371196895983,0.0,0,1.3333333333333335,6,2018,12,2009,11,2,0,0
36322.0,1542.0,23.555123216601817,0,37864.0,2,8.824677891164198,4.216666666666667,0,64.60000000000001,22,2017,10,2017,9,1,3,0
1270.0,73.0,17.397260273972602,0,1343.0,0,8.824677891164198,4.266666666666667,0,268.25,25,2017,12,2017,4,4,0,0
4640.0,212.0,21.88679245283019,0,4852.0,0,8.85366542803745,4.333333333333333,0,50.9,27,2018,3,2019,7,4,4,0
1107.0,64.0,17.296875,0,1171.0,0,8.85366542803745,2.1,0,30.499999999999996,14,2018,2,2016,9,1,0,0
1887.0,179.0,10.541899441340782,0,2066.0,0,8.366370301681654,0.9166666666666666,0,21.300000000000004,9,2018,7,2019,1,1,0,0
1663.0,153.0,10.869281045751634,0,1816.0,0,8.294049640102028,0.0,0,6.25,8,2018,10,2018,10,2,0,0
17071.0,1218.0,14.01559934318555,0,18289.0,1,9.159047077588632,2.85,0,41.233333333333334,7,2017,3,2012,6,2,2,0
18644.0,7748.0,2.40629839958699,0,26392.0,1,9.464982590349763,56.66666666666666,0,268.25,25,2017,12,2018,5,9,2,1
4328.0,1223.0,3.538838920686836,0,5551.0,0,9.210340371976184,0.0,0,11.533333333333333,21,2019,6,2016,11,1,1,0
4109.0,253.0,16.24110671936759,0,4362.0,0,8.476371196895983,4.516666666666667,0,23.11666666666667,12,2017,11,2017,8,4,0,0
36408.0,1063.0,34.25023518344309,0,37471.0,2,8.476371196895983,3.083333333333333,0,29.333333333333332,17,2016,11,2014,5,2,10,0
5163.0,182.0,28.36813186813187,0,5345.0,0,8.824677891164198,0.0,0,18.1,12,2018,11,2016,4,1,0,0
2268.0,82.0,27.658536585365855,0,2350.0,0,8.85366542803745,1.7,0,11.533333333333333,21,2019,6,2019,4,2,0,0
24505.0,7766.0,3.1554210661859385,0,32271.0,2,9.104979856318357,11.516666666666667,0,50.9,27,2018,3,2018,2,4,0,0
4760.0,925.0,5.145945945945946,0,5685.0,0,8.496990484098719,6.5,1,29.333333333333332,17,2016,11,2016,8,2,0,0
16607.0,1662.0,9.992178098676293,0,18269.0,1,8.517193191416238,0.8833333333333333,0,6.25,8,2018,10,2012,2,2,0,0
74.0,6.0,12.333333333333334,0,80.0,0,8.160518247477505,0.4666666666666667,0,50.9,27,2018,3,2017,10,1,0,0
22742.0,5941.0,3.8279750883689614,0,28683.0,2,10.118598932153073,0.0,0,20.616666666666667,4,2019,3,2016,11,2,0,0
5396.0,954.0,5.656184486373165,0,6350.0,0,9.305650551780507,0.0,0,64.60000000000001,22,2017,10,2014,6,4,0,0
1685.0,566.0,2.977031802120141,0,2251.0,0,8.131530710604252,0.0,0,30.499999999999996,14,2018,2,2008,11,2,0,0
14.0,4.0,3.5,1,18.0,0,0.0,0.4,0,23.11666666666667,12,2017,11,2016,3,4,1,0
2848.0,498.0,5.718875502008032,0,3346.0,0,7.649692623711514,0.31666666666666665,0,14.883333333333335,6,2017,9,2016,9,1,0,0
7052.0,718.0,9.821727019498606,0,7770.0,0,9.323669057283185,0.0,0,30.099999999999998,19,2017,6,2014,6,4,1,0
16482.0,2102.0,7.841103710751665,0,18584.0,1,8.824677891164198,0.0,0,2.533333333333333,17,2018,4,2014,11,1,3,1
4850.0,139.0,34.89208633093525,0,4989.0,0,8.699514748210191,1.9833333333333327,0,268.25,25,2017,12,2017,12,1,0,0
39351.0,3113.0,12.640860905878574,0,42464.0,2,9.680344001221918,14.55,0,14.883333333333335,6,2017,9,2016,2,2,0,0
1949.0,834.0,2.3369304556354917,0,2783.0,0,9.210340371976184,0.2,0,64.60000000000001,22,2017,10,2014,9,4,1,0
543.0,92.0,5.9021739130434785,0,635.0,0,8.83927669058535,3.9333333333333327,0,64.60000000000001,22,2017,10,2007,1,3,0,0
2805.0,169.0,16.597633136094675,0,2974.0,0,8.476371196895983,0.0,0,2.533333333333333,17,2018,4,2013,10,6,2,0
10311.0,1386.0,7.4393939393939394,0,11697.0,1,9.862665558015873,3.283333333333333,0,18.1,12,2018,11,2016,1,4,0,0
4204.0,820.0,5.126829268292683,0,5024.0,0,9.20029003612268,0.0,0,11.216666666666665,12,2019,2,2009,1,1,0,0
116.0,1.0,116.0,1,117.0,0,0.0,0.36666666666666653,0,23.11666666666667,12,2017,11,2016,6,5,1,0
